Clicks
Time , Nearest AudioCue Time, Time Difference, Was it a Valid Click?, Click Within Max Time? 
6.084925,N/A,N/A,NO,True
7.100896,N/A,N/A,NO,True
8.084549,N/A,N/A,NO,True
17.77436,17.00731,0.7670517,Yes,True
18.66564,N/A,N/A,NO,True
