Clicks
Time , Nearest AudioCue Time, Time Difference, Was it a Valid Click?, Click Within Max Time? 
Clicks
Time , Nearest AudioCue, Correct Click, Click Within Max Time? 
6.198492,N/A,N/A,NO,True
7.545568,N/A,N/A,NO,True
15.93433,14.62773,1.306601,Yes,True
17.85452,N/A,N/A,NO,True
32.37484,N/A,N/A,NO,False
41.67349,N/A,N/A,NO,False
54.9997,45.57875,9.420948,Yes,False
56.24411,N/A,N/A,NO,False
58.14431,57.57989,0.5644226,Yes,True
59.49988,N/A,N/A,NO,True
64.29351,N/A,N/A,NO,False
